Name,Card ID,Set,Set Code,Card Number,Type,Rarity,Year,Language,Variant,Artist,Japanese Expansion,Japanese Card Number,Notes
Insécateur,astral_radiance_5_fr,Astral Radiance,AR,005/189,Grass,Common,2022,French,Standard,,Battle Region,004/067,Astral Radiance alternate common
Sichlor,astral_radiance_5_de,Astral Radiance,AR,005/189,Grass,Common,2022,German,Standard,,Battle Region,004/067,Astral Radiance alternate common
Scyther,astral_radiance_5_id,Astral Radiance,AR,005/189,Grass,Common,2022,Indonesian,Standard,,Battle Region,004/067,Astral Radiance alternate common
Scyther,astral_radiance_5_it,Astral Radiance,AR,005/189,Grass,Common,2022,Italian,Standard,,Battle Region,004/067,Astral Radiance alternate common
스라크,astral_radiance_5_ko,Astral Radiance,AR,005/189,Grass,Common,2022,Korean,Standard,,Battle Region,004/067,Astral Radiance alternate common
Scyther,astral_radiance_5_pt,Astral Radiance,AR,005/189,Grass,Common,2022,Portuguese,Standard,,Battle Region,004/067,Astral Radiance alternate common
Scyther,astral_radiance_5_es,Astral Radiance,AR,005/189,Grass,Common,2022,Spanish,Standard,,Battle Region,004/067,Astral Radiance alternate common
ไซเธอร์,astral_radiance_5_th,Astral Radiance,AR,005/189,Grass,Common,2022,Thai,Standard,,Battle Region,004/067,Astral Radiance alternate common
飛天螳螂,crown_zenith_6_zh-TW,Crown Zenith,CRZ,006/159,Grass,Common,2022,Chinese Traditional,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Scyther,crown_zenith_6,Crown Zenith,CRZ,006/159,Grass,Common,2022,English,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Insécateur,crown_zenith_6_fr,Crown Zenith,CRZ,006/159,Grass,Common,2022,French,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Sichlor,crown_zenith_6_de,Crown Zenith,CRZ,006/159,Grass,Common,2022,German,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Scyther,crown_zenith_6_id,Crown Zenith,CRZ,006/159,Grass,Common,2022,Indonesian,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Scyther,crown_zenith_6_it,Crown Zenith,CRZ,006/159,Grass,Common,2022,Italian,Standard,,Incandescent Arcana,001/068,Crown Zenith common
스라크,crown_zenith_6_ko,Crown Zenith,CRZ,006/159,Grass,Common,2022,Korean,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Scyther,crown_zenith_6_pt,Crown Zenith,CRZ,006/159,Grass,Common,2022,Portuguese,Standard,,Incandescent Arcana,001/068,Crown Zenith common
Scyther,crown_zenith_6_es,Crown Zenith,CRZ,006/159,Grass,Common,2022,Spanish,Standard,,Incandescent Arcana,001/068,Crown Zenith common
ไซเธอร์,crown_zenith_6_th,Crown Zenith,CRZ,006/159,Grass,Common,2022,Thai,Standard,,Incandescent Arcana,001/068,Crown Zenith common
飞天螳螂,151_123_zh-CN,151,151,123/165,Grass,Uncommon,2023,Chinese Simplified,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
飛天螳螂,151_123_zh-TW,151,151,123/165,Grass,Uncommon,2023,Chinese Traditional,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Scyther,151_123,151,151,123/165,Grass,Uncommon,2023,English,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Insécateur,151_123_fr,151,151,123/165,Grass,Uncommon,2023,French,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Sichlor,151_123_de,151,151,123/165,Grass,Uncommon,2023,German,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Scyther,151_123_id,151,151,123/165,Grass,Uncommon,2023,Indonesian,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Scyther,151_123_it,151,151,123/165,Grass,Uncommon,2023,Italian,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
스라크,151_123_ko,151,151,123/165,Grass,Uncommon,2023,Korean,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Scyther,151_123_pt,151,151,123/165,Grass,Uncommon,2023,Portuguese,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Scyther,151_123_es,151,151,123/165,Grass,Uncommon,2023,Spanish,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
ไซเธอร์,151_123_th,151,151,123/165,Grass,Uncommon,2023,Thai,Standard,,Pokémon Card 151,123/165,From the 151 set celebrating Gen 1 Pokémon
Scyther,my_first_battle,My First Battle,MFB,Unknown,Grass,Common,2023,English,Starter Set,,,,Beginner-friendly My First Battle set
飞天螳螂,obsidian_flames_4_zh-CN,Obsidian Flames,OF,004/197,Grass,Common,2023,Chinese Simplified,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
飛天螳螂,obsidian_flames_4_zh-TW,Obsidian Flames,OF,004/197,Grass,Common,2023,Chinese Traditional,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Scyther,obsidian_flames_4,Obsidian Flames,OF,004/197,Grass,Common,2023,English,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Insécateur,obsidian_flames_4_fr,Obsidian Flames,OF,004/197,Grass,Common,2023,French,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Sichlor,obsidian_flames_4_de,Obsidian Flames,OF,004/197,Grass,Common,2023,German,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Scyther,obsidian_flames_4_id,Obsidian Flames,OF,004/197,Grass,Common,2023,Indonesian,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Scyther,obsidian_flames_4_it,Obsidian Flames,OF,004/197,Grass,Common,2023,Italian,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
스라크,obsidian_flames_4_ko,Obsidian Flames,OF,004/197,Grass,Common,2023,Korean,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Scyther,obsidian_flames_4_pt,Obsidian Flames,OF,004/197,Grass,Common,2023,Portuguese,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Scyther,obsidian_flames_4_es,Obsidian Flames,OF,004/197,Grass,Common,2023,Spanish,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
ไซเธอร์,obsidian_flames_4_th,Obsidian Flames,OF,004/197,Grass,Common,2023,Thai,Standard,,Ruler of the Black Flame,004/108,Obsidian Flames common
Scyther,start_deck_100_battle_collection,Start Deck 100 Battle Collection,SD100,015/742,Grass,Common,2023,Japanese,Standard,,,,Japanese Start Deck 100 version
飛天螳螂,paldean_fates_095_shiny_zh-TW,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,Chinese Traditional,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Scyther,paldean_fates_095_shiny,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,English,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Insécateur,paldean_fates_095_shiny_fr,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,French,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Sichlor,paldean_fates_095_shiny_de,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,German,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Scyther,paldean_fates_095_shiny_id,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,Indonesian,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Scyther,paldean_fates_095_shiny_it,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,Italian,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
스라크,paldean_fates_095_shiny_ko,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,Korean,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Scyther,paldean_fates_095_shiny_pt,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,Portuguese,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Scyther,paldean_fates_095_shiny_es,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,Spanish,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
ไซเธอร์,paldean_fates_095_shiny_th,Paldean Fates,PF,095/091,Grass,Shiny Rare,2024,Thai,Shiny Rare,,Shiny Treasure ex,004/190,Paldean Fates shiny variant
Scyther,shiny_treasure_ex_194,Shiny Treasure ex,STE,194/190,Grass,Shiny Rare,2024,English,Shiny Rare (Secret Rare),,Shiny Treasure ex,194/190,Secret rare shiny from Shiny Treasure ex
飞天螳螂,temporal_forces_1_zh-CN,Temporal Forces,TF,001/162,Grass,Common,2024,Chinese Simplified,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
飛天螳螂,temporal_forces_1_zh-TW,Temporal Forces,TF,001/162,Grass,Common,2024,Chinese Traditional,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Scyther,temporal_forces_1,Temporal Forces,TF,001/162,Grass,Common,2024,English,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Insécateur,temporal_forces_1_fr,Temporal Forces,TF,001/162,Grass,Common,2024,French,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Sichlor,temporal_forces_1_de,Temporal Forces,TF,001/162,Grass,Common,2024,German,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Scyther,temporal_forces_1_id,Temporal Forces,TF,001/162,Grass,Common,2024,Indonesian,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Scyther,temporal_forces_1_it,Temporal Forces,TF,001/162,Grass,Common,2024,Italian,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
스라크,temporal_forces_1_ko,Temporal Forces,TF,001/162,Grass,Common,2024,Korean,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Scyther,temporal_forces_1_pt,Temporal Forces,TF,001/162,Grass,Common,2024,Portuguese,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
Scyther,temporal_forces_1_es,Temporal Forces,TF,001/162,Grass,Common,2024,Spanish,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
ไซเธอร์,temporal_forces_1_th,Temporal Forces,TF,001/162,Grass,Common,2024,Thai,Standard,,Cyber Judge,001/071,Latest Scyther common from Temporal Forces
